movie,question,option a,option b,option c,option d,option e,answer,explanation
Vertigo,Why does John 'Scottie' Ferguson retire from detective work?,He was injured in a car accident.,He developed acrophobia and vertigo after a rooftop chase.,He was fired for misconduct.,He decided to pursue a different career.,He wanted to travel the world.,B,Scottie retired because he developed acrophobia and vertigo following a traumatic rooftop chase.
Vertigo,Who hires Scottie to follow Madeleine?,"His ex-fiancée, Midge.",A mysterious stranger.,"His old college acquaintance, Gavin Elster.",Madeleine herself.,The local police department.,C,"Gavin Elster, an old college acquaintance, hires Scottie to follow his wife, Madeleine."
Vertigo,What is the supposed reason for Madeleine's strange behavior?,She has a mental illness.,"She is possessed by the spirit of her great-grandmother, Carlotta Valdes.",She is having an affair.,She is planning a surprise for Gavin.,She is suffering from amnesia.,B,"Gavin believes Madeleine is possessed by the spirit of her great-grandmother, Carlotta Valdes."
Vertigo,What significant event occurs at the San Francisco Bay?,Scottie proposes to Madeleine.,Madeleine jumps into the bay and Scottie saves her.,A boat accident endangers both Scottie and Madeleine.,Scottie confesses his love to Madeleine.,Gavin reveals his true intentions to Scottie.,B,"Madeleine jumps into the San Francisco Bay, and Scottie saves her, marking a pivotal moment in their relationship."
Vertigo,What prevents Scottie from saving Madeleine at the bell tower?,He is physically restrained.,His acrophobia prevents him from reaching her.,He arrives too late.,Madeleine refuses his help.,He is distracted by a phone call.,B,Scottie's acrophobia prevents him from reaching Madeleine in time to save her.
Vertigo,What happens to Scottie after Madeleine's death?,He moves to another city.,He continues his detective work.,He suffers a mental breakdown and is institutionalized.,He starts a new relationship immediately.,He leaves San Francisco for a brief vacation.,C,Scottie suffers a mental breakdown and is institutionalized after Madeleine's death.
Vertigo,Who does Scottie encounter after his release from the sanatorium?,A detective investigating Madeleine's death.,"His ex-fiancée, Midge.","Judy Barton, a woman resembling Madeleine.","Gavin Elster, who explains everything.",A journalist writing about the case.,C,"Scottie encounters Judy Barton, who bears a strong resemblance to Madeleine."
Vertigo,What is Judy's involvement in Gavin's plan?,She is unaware of any plan.,She is Gavin's secret accomplice in the murder.,She is being blackmailed by Gavin.,She is an innocent bystander.,She is trying to protect Scottie.,B,Judy was complicit in Gavin's plan to murder his wife and frame Scottie.
Vertigo,How does Scottie discover Judy's involvement?,Judy confesses to him directly.,He finds a letter written by Judy confessing her involvement.,Gavin tells him the truth.,Midge uncovers the truth and informs him.,He overhears a conversation between Judy and Gavin.,B,Scottie discovers Judy's involvement through a letter she wrote confessing her role.
Vertigo,What event ultimately cures Scottie of his acrophobia?,A second rooftop chase.,The death of Judy at the bell tower.,Therapy sessions with Midge.,A confrontation with Gavin.,A near-death experience in a car accident.,B,Scottie is cured of his acrophobia after Judy falls to her death from the bell tower.
